Organization Name,Street Address,City,State,Zipcode,Phone,Website,Citizenship Outreach and Community Education,English Language Classes,Citizenship Classes,Legal Assistance Provided by Attorney or BIA Accredited Representative
Albany Park Community Center,1945 W Wilson Ave,Chicago,IL,60640,7735835111,www.apcc-chgo.org,,y,y,
Alliance of Filipinos for Immigrant Rights & Empowerment,7315 N Western Ave,Chicago,IL,60645,7735801025,www.afirechicago.org,y,,y,
Arab American Action Network,"3148 W 63rd St, 2nd Floor",Chicago,IL,60629,7734366060,www.aaan.org,y,y,y,y
Arab American Family Services,9044 S Octavia Ave,Bridgeview,IL,60455,7085992237,www.arabamericanfamilyservices.org,y,y,y,y
Brighton Park Neighborhood Council,4477 S Archer Ave,Chicago,IL,60632,7735237110,www.bpncchicago.org,y,y,y,
Centro De Informacion,"28 N Grove Ave, Suite 200",Elgin,IL,60120,8476959050,www.centrodeinformacion.org,y,,,y
Centro De Trabajadores Unidos,9546 S Ewing Ave,Chicago,IL,60617,7733492806,www.centrodetrabajadoresunidos.org,y,y,,y
Centro Romero,6216 N Clark St,Chicago,IL,60660,7735085300,www.centroromero.org,y,y,,y
Chinese American Service League,2141 S Tan Ct,Chicago,IL,60616,3127910418,www.caslservice.org,y,,,y
Chinese Mutual Aid Association,1016 W Argyle St,Chicago,IL,60640,7737842900,www.chinesemutualaid.org,y,y,,y
Enlace Chicago,2756 S Harding Ave,Chicago,IL,60623,7735429233,www.enlacechicago.org,y,,,y
Erie Neighborhood House,1347 W Erie St,Chicago,IL,60642,3126663430,www.eriehouse.org,,y,y,y
Family Focus Aurora,550 2nd Ave,Aurora,IL,60505,6308442550,www.family-focus.org/centers/aurora,y,y,,y
FEDECMI/Casa Michoacan,1638 S Blue Island Ave,Chicago,IL,60608,3124919317,www.fedecmiusa.com,y,,,
Fr. Gary Graf Center (Most Blessed Trinity),510 10th St,Waukegan,IL,60085,8477750858,www.mbtcs.org,,y,y,
HACES,820 W Greenwood Ave,Waukegan,IL,60087,8472440300,www.haces.org,y,y,,y
Hanul Family Alliance,5008 N Kedzie Ave,Chicago,IL,60625,7734788851,www.hanulusa.org,y,y,y,y
Immigration Project,"211 Landmark Dr, Suite B3A",Normal,IL,61761,3098298703,www.immigrationproject.org,y,,,y
Indo-American Center,6328 N California Ave,Chicago,IL,60659,7739734444,www.indoamerican.org,y,y,y,y
Instituto Del Progreso Latino,2520 S Western Ave,Chicago,IL,60608,7738900055,www.institutochicago.org,y,,y,y
Interfaith Leadership Project,"1510 S 49th Ct, 3rd Floor",Cicero,IL,60802,7086527711,,y,,y,
Iraqi Mutual Aid Society,"2600 W Peterson Ave, Suite 100",Chicago,IL,60659,7734094597,www.iraqimutualaid.org,,,,y
HIAS (JCFS),"216 W Jackson Blvd, Suite 700",Chicago,IL,60606,3123574666,www.hiaschicago.org,y,,y,y
Korean American Community Services,4300 N California Ave,Chicago,IL,60618,7735835501,www.kacschicago.org,y,y,y,y
Korean American Resource & Cultural Center,6212 N Lincoln Ave,Chicago,IL,60659,7735889158,www.chicagokrcc.org,y,y,,y
Latino Organization of the Southwest,4051 W 63rd St,Chicago,IL,60629,7735811900,www.latinoorganizationofthesouthwest.blogspot.com,y,y,y,
Logan Square Neighborhood Association,2840 N Milwaukee Ave,Chicago,IL,60618,7733844370,www.lsna.net,y,,,y
Mano A Mano Family Resource Center,6 E Main St,Round Lake Park,IL,60073,8472011521,www.mamfrc.org,y,y,y,y
Mujeres Latinas en Accion,2124 W 21st Pl,Chicago,IL,60608,7738907676,www.mujereslatinasenaccion.org,y,,,
Muslim Women Resource Center,"6445 N Western Ave, Suite 301",Chicago,IL,60645,7737641686,www.mwrcnfp.org,y,y,y,y
National Immigrant Justice Center,"208 S LaSalle, Suite 1300",Chicago,IL,60604,3126601370,www.immigrantjustice.org,,,,y
Northern Alliance For Immigrants,4687 Sunflower Ln,Hoffman Estates,IL,60192,7735146558,www.facebook.com/NAllianceForImmigrants,y,,,
Northern Illinois Justice For Our Neighbors,215 N Court St,Rockford,IL,61103,8154080498,www.nijfon.org,y,,y,y
Northside Community Resources (NCR),1530 W Morse Ave,Chicago,IL,60626,7733387722,www.northsidecommunityresources.org,y,,,
PASO - West Suburban Action Project,"3415 W North Ave, Suite D",Melrose Park,IL,60160,708410200,www.pasoaction.org,y,y,y,y
Polish American Association,3834 N Cicero Ave,Chicago,IL,60641,7732828206,www.polish.org,y,,,
Quad Cities Alliance For Immigrants and Refugees,"1800 3rd Ave, Suite 501",Rock Island,IL,61201,3097862995,www.qcair.org,y,,,
Refugee One,"4753 N Broadway St, Suite 401",Chicago,IL,60640,7739895647,www.refugeeone.org,y,,y,y
Rock Valley College,303 N Main St,Rockford,IL,61101,8159212272,www.rockvalleycollege.edu,y,,y,y
South Suburban Immigrant Project,"536 W Boughton Rd, Suite C",Bolingbrook,IL,60440,6302966755,www.ssipchicago.org,y,,y,
Southwest Organizing Project,2558 W 63rd St,Chicago,IL,60629,7734718208,www.swopchicago.org,y,,,
Spanish Community Center,309 N Eastern Ave,Joliet,IL,60432,8157273683,www.spanishcenter.org,y,y,y,y
The Resurrection Project,1818 S Paulina St,Chicago,IL,60608,3126661323,www.resurrectionproject.org,y,,,y
Township HS District 214,2121 S Goebbert Rd,Arlington Heights,IL,60005,8477187700,http://ce.d214.org/,y,y,y,
United African Organization,"3424 S State, 3rd Fl",Chicago,IL,60616,3129499980,www.uniteafricans.org,y,,,y
University YMCA,1001 S Wright St,Champaign,IL,61820,2173371500,www.universityymca.org,y,,,
Vietnamese Association of Illinois,5110 N Broadway Ave,Chicago,IL,60640,7737283700,www.hnvi.org,,y,y,y
World Relief - DuPage/Aurora,"1825 College Ave, Suite 230",Wheaton,IL,60187,6304627660,www.worldrelief.org/chicago,y,,,y
World Relief-Chicago,"3507 W Lawrence Ave, Suite 208",Chicago,IL,60625,7735833010,www.worldrelief.org/chicago,y,,,y
World Relief-Moline,1204 4th Ave,Moline,IL,62165,3097642279,www.worlreliefmoline.org,y,,y,y
